sentence,ents_old,ents,entity
"I 



* 

THE DARK LORD ASCENDING 

The two men appeared out of nowhere, a few yards 
apart in the narrow, moonlit lane.",['THE DARK'],['THE DARK'],[]
"For a second they 
stood quite still, wands directed at each other’s 
chests; then, recognizing each other, they stowed 
their wands beneath their cloaks and started walking 
briskly in the same direction.",[],[],[]
“News?” asked the taller of the two.,[],[],[]
"“The best,” replied Severus Snape.",['Severus Snape'],['Severus Snape'],['Severus Snape']
"The lane was bordered on the left by wild, low- 
growing brambles, on the right by a high, neatly 
manicured hedge.",[],[],[]
"The men’s long cloaks flapped 
around their ankles as they marched.",[],[],[]
"“Thought I might be late,” said Yaxley, his blunt 
features sliding in and out of sight as the branches of 
overhanging trees broke the moonlight.",['Yaxley'],['Yaxley'],['Corban Yaxley']
"“It was a little 
trickier than I expected.",[],[],[]
"But I hope he will be 
satisfied.",[],[],[]
"You sound confident that your reception will 
be good?” 





Snape nodded, but did not elaborate.",['Snape'],['Snape'],['Severus Snape']
"They turned 
right, into a wide driveway that led off the lane.",[],[],[]
"The 
high hedge curved with them, running off into the 
distance beyond the pair of impressive wrought-iron 
gates barring the men’s way.",[],[],[]
"Neither of them broke 
step: In silence both raised their left arms in a kind of 
salute and passed straight through, as though the 
dark metal were smoke.",[],[],[]
"The yew hedges muffled the sound of the men’s 
footsteps.",[],[],[]
"There was a rustle somewhere to their 
right: Yaxley drew his wand again, pointing it over his 
companion’s head, but the source of the noise proved 
to be nothing more than a pure-white peacock, 
strutting majestically along the top of the hedge.",['Yaxley'],['Yaxley'],['Corban Yaxley']
"“He always did himself well, Lucius.",['Lucius'],['Lucius'],['Lucius Malfoy']
"Peacocks ...” 
Yaxley thrust his wand back under his cloak with a 
snort.",['Yaxley'],['Yaxley'],['Corban Yaxley']
"A handsome manor house grew out of the darkness at 
the end of the straight drive, lights glinting in the 
diamond-paned downstairs windows.",[],[],[]
"Somewhere in 
the dark garden beyond the hedge a fountain was 
playing.",[],[],[]
"Gravel crackled beneath their feet as Snape 
and Yaxley sped toward the front door, which swung 
inward at their approach, though nobody had visibly 
opened it.","['Gravel', 'Snape', 'Yaxley']","['Gravel', 'Snape', 'Yaxley']","['Severus Snape', 'Corban Yaxley']"
"The hallway was large, dimly lit, and sumptuously 
decorated, with a magnificent carpet covering most of 
the stone floor.",[],[],[]
"The eyes of the pale-faced portraits on 
the walls followed Snape and Yaxley as they strode 
past.","['Snape', 'Yaxley']","['Snape', 'Yaxley']","['Severus Snape', 'Corban Yaxley']"
"The two men halted at a heavy wooden door 
leading into the next room, hesitated for the space of 
a heartbeat, then Snape turned the bronze handle.",['Snape'],['Snape'],['Severus Snape']
"The drawing room was full of silent people, sitting at a 
long and ornate table.",[],[],[]
"The room’s usual furniture had 





been pushed carelessly up against the walls.",[],[],[]
"Illumination came from a roaring fire beneath a 
handsome marble mantelpiece surmounted by a 
gilded mirror.",['Illumination'],['Illumination'],[]
"Snape and Yaxley lingered for a 
moment on the threshold.","['Snape', 'Yaxley']","['Snape', 'Yaxley']","['Severus Snape', 'Corban Yaxley']"
"As their eyes grew 
accustomed to the lack of light, they were drawn 
upward to the strangest feature of the scene: an 
apparently unconscious human figure hanging upside 
down over the table, revolving slowly as if suspended 
by an invisible rope, and reflected in the mirror and in 
the bare, polished surface of the table below.",[],[],[]
"None of 
the people seated underneath this singular sight was 
looking at it except for a pale young man sitting 
almost directly below it.",[],[],[]
"He seemed unable to prevent 
himself from glancing upward every minute or so.",[],[],[]
“Yaxley.,[],[],[]
"Snape,” said a high, clear voice from the head 
of the table.",['Snape'],['Snape'],['Severus Snape']
"“You are very nearly late.” 

The speaker was seated directly in front of the 
fireplace, so that it was difficult, at first, for the new 
arrivals to make out more than his silhouette.",[],[],[]
"As they 
drew nearer, however, his face shone through the 
gloom, hairless, snakelike, with slits for nostrils and 
gleaming red eyes whose pupils were vertical.",[],[],[]
"He was 
so pale that he seemed to emit a pearly glow.",[],[],[]
"“Severus, here,” said Voldemort, indicating the seat 
on his immediate right.","['Severus', 'Voldemort']","['Severus', 'Voldemort']","['Severus Snape', 'Lord Voldemort']"
"“Yaxley — beside Dolohov.” 

The two men took their allotted places.",['Yaxley'],['Yaxley'],['Corban Yaxley']
"Most of the 
eyes around the table followed Snape, and it was to 
him that Voldemort spoke first.","['Snape', 'Voldemort']","['Snape', 'Voldemort']","['Severus Snape', 'Lord Voldemort']"
"“So?” 

“My Lord, the Order of the Phoenix intends to move 
Harry Potter from his current place of safety on 
Saturday next, at nightfall.” 





The interest around the table sharpened palpably: 
Some stiffened, others fidgeted, all gazing at Snape 
and Voldemort.","['Phoenix', 'Harry Potter', 'Snape', 'Voldemort']","['Phoenix', 'Harry Potter', 'Snape', 'Voldemort']","['Harry Potter', 'Severus Snape', 'Lord Voldemort']"
"“Saturday ... at nightfall,” repeated Voldemort.",['Voldemort'],['Voldemort'],['Lord Voldemort']
"His 
red eyes fastened upon Snape ’s black ones with such 
intensity that some of the watchers looked away, 
apparently fearful that they themselves would be 
scorched by the ferocity of the gaze.",['Snape'],['Snape'],['Severus Snape']
"Snape, however, 
looked calmly back into Voldemort’s face and, after a 
moment or two, Voldemort’s lipless mouth curved into 
something like a smile.","['Snape', 'Voldemort']","['Snape', 'Voldemort']","['Severus Snape', 'Lord Voldemort']"
“Good.,[],[],[]
Very good.,[],[],[]
"And this information comes — ” 

“ — from the source we discussed,” said Snape.",['Snape'],['Snape'],['Severus Snape']
"“My Lord.” 

Yaxley had leaned forward to look down the long table 
at Voldemort and Snape.","['Yaxley', 'Voldemort', 'Snape']","['Yaxley', 'Voldemort', 'Snape']","['Corban Yaxley', 'Lord Voldemort', 'Severus Snape']"
All faces turned to him.,[],[],[]
"“My Lord, I have heard differently.” 

Yaxley waited, but Voldemort did not speak, so he 
went on, “Dawlish, the Auror, let slip that Potter will 
not be moved until the thirtieth, the night before the 
boy turns seventeen.” 

Snape was smiling.","['Yaxley', 'Voldemort', 'Dawlish', 'Auror', 'Potter', 'Snape']","['Yaxley', 'Voldemort', 'Dawlish', 'Auror', 'Potter', 'Snape']","['Corban Yaxley', 'Lord Voldemort', 'John Dawlish', 'Harry Potter', 'Severus Snape']"
"“My source told me that there are plans to lay a false 
trail; this must be it.",[],[],[]
"No doubt a Confundus Charm 
has been placed upon Dawlish.","['Confundus', 'Dawlish']","['Confundus', 'Dawlish']",['John Dawlish']
"It would not be the 
first time; he is known to be susceptible.” 

“I assure you, my Lord, Dawlish seemed quite 
certain,” said Yaxley.","['Dawlish', 'Yaxley']","['Dawlish', 'Yaxley']","['John Dawlish', 'Corban Yaxley']"
"“If he has been Confunded, naturally he is certain,” 
said Snape.","['Confunded', 'Snape']","['Confunded', 'Snape']",['Severus Snape']
