sentence,ents_old,ents,entity
"
J .",[],[],[]
K .,[],[],[]
R O W L !,[],[],[]
"N G 

HARRY 

POTTER 




/ 




THE WORST BIRTHDAY 

Not for the first time, an argument had broken out 
over breakfast at number four, Privet Drive.","['HARRY', 'THE WORST', 'Privet Drive']","['HARRY', 'THE WORST', 'Privet Drive']",[]
"Mr. 
Vernon Dursley had been woken in the early hours of 
the morning by a loud, hooting noise from his nephew 
Harry’s room.","['Mr. Vernon Dursley', 'Harry']","['Vernon Dursley', 'Harry']","['Vernon Dursley', 'Harry Potter']"
“Third time this week!” he roared across the table.,[],[],[]
"“If 
you can’t control that owl, it’ll have to go!” 

Harry tried, yet again, to explain.",['Harry'],['Harry'],['Harry Potter']
"“She’s bored,” he said.",[],[],[]
"“She’s used to flying around 
outside.",[],[],[]
"If I could just let her out at night — ” 

“Do I look stupid?” snarled Uncle Vernon, a bit of 
fried egg dangling from his bushy mustache.",['Uncle Vernon'],['Vernon'],['Vernon Dursley']
"“I know 
what 11 happen if that owl’s let out.” 

He exchanged dark looks with his wife, Petunia.",['Petunia'],['Petunia'],['Petunia Dursley']
"Harry tried to argue back but his words were drowned 
by a long, loud belch from the Dursleys’ son, Dudley.","['Harry', 'Dursleys', 'Dudley']","['Harry', 'Dursleys', 'Dudley']","['Harry Potter', 'Dudley Dursley']"
"“I want more bacon.” 



“There’s more in the frying pan, sweetums,” said Aunt 
Petunia, turning misty eyes on her massive son.",['Aunt Petunia'],['Petunia'],['Petunia Dursley']
"“We 
must build you up while we’ve got the chance.",[],[],[]
...,[],[],[]
"I 
don’t like the sound of that school food.",[],[],[]
"...” 

“Nonsense, Petunia, I never went hungry when / was 
at Smeltings,” said Uncle Vernon heartily.","['Petunia', 'Smeltings', 'Uncle Vernon']","['Petunia', 'Smeltings', 'Vernon']","['Petunia Dursley', 'Vernon Dursley']"
"“Dudley 
gets enough, don’t you, son?” 

Dudley, who was so large his bottom drooped over 
either side of the kitchen chair, grinned and turned to 
Harry.","['Dudley', 'Dudley Harry']","['Dudley', 'Dudley Harry']",['Dudley Dursley']
"“Pass the frying pan.” 

“You’ve forgotten the magic word,” said Harry 
irritably.",['Harry'],['Harry'],['Harry Potter']
"The effect of this simple sentence on the rest of the 
family was incredible: Dudley gasped and fell off his 
chair with a crash that shook the whole kitchen; Mrs. 
Dursley gave a small scream and clapped her hands 
to her mouth; Mr. Dursley jumped to his feet, veins 
throbbing in his temples.","['Dudley', 'Dursley', 'Mr. Dursley']","['Dudley', 'Dursley', 'Dursley']","['Dudley Dursley', 'Dudley Dursley', 'Dudley Dursley']"
“I meant ‘please’!” said Harry quickly.,['Harry'],['Harry'],['Harry Potter']
"“I didn’t mean 



“WHAT HAVE I TOLD YOU,” thundered his uncle, 
spraying spit over the table, “ABOUT SAYING THE ‘M’ 
WORD IN OUR HOUSE?” 

“But I — ” 

“HOW DARE YOU THREATEN DUDLEY!” roared 
Uncle Vernon, pounding the table with his fist.","['TOLD', 'THE', 'HOUSE', 'Uncle Vernon']","['TOLD', 'THE', 'HOUSE', 'Vernon']",['Vernon Dursley']
"“I just — ” 



“I WARNED YOU!",[],[],[]
"I WILL NOT TOLERATE MENTION 
OF YOUR ABNORMALITY UNDER THIS ROOF!” 

Harry stared from his purple-faced uncle to his pale 
aunt, who was trying to heave Dudley to his feet.","['TOLERATE', 'YOUR', 'Harry', 'Dudley']","['TOLERATE', 'YOUR', 'Harry', 'Dudley']","['Harry Potter', 'Dudley Dursley']"
"“All right,” said Harry, “all right ...” 

Uncle Vernon sat back down, breathing like a winded 
rhinoceros and watching Harry closely out of the 
corners of his small, sharp eyes.","['Harry', 'Uncle Vernon']","['Harry', 'Vernon']","['Harry Potter', 'Vernon Dursley']"
"Ever since Harry had come home for the summer 
holidays, Uncle Vernon had been treating him like a 
bomb that might go off at any moment, because Harry 
Potter wasn’t a normal boy.","['Harry', 'Uncle Vernon', 'Harry Potter']","['Harry', 'Vernon', 'Harry Potter']","['Harry Potter', 'Vernon Dursley', 'Harry Potter']"
"As a matter of fact, he 
was as not normal as it is possible to be.",[],[],[]
"Harry Potter was a wizard — a wizard fresh from his 
first year at Hogwarts School of Witchcraft and 
Wizardry.","['Harry Potter', 'Hogwarts School', 'Witchcraft', 'Wizardry']","['Harry Potter', 'Hogwarts School', 'Witchcraft', 'Wizardry']",['Harry Potter']
"And if the Dursleys were unhappy to have 
him back for the holidays, it was nothing to how 
Harry felt.","['Dursleys', 'Harry']","['Dursleys', 'Harry']",['Harry Potter']
"He missed Hogwarts so much it was like having a 
constant stomachache.",['Hogwarts'],['Hogwarts'],[]
"He missed the castle, with its 
secret passageways and ghosts, his classes (though 
perhaps not Snape, the Potions master), the mail 
arriving by owl, eating banquets in the Great Hall, 
sleeping in his four-poster bed in the tower dormitory, 
visiting the gamekeeper, Hagrid, in his cabin next to 
the Forbidden Forest in the grounds, and, especially, 
Quidditch, the most popular sport in the wizarding 
world (six tall goal posts, four flying balls, and 
fourteen players on broomsticks).","['Snape', 'Potions', 'Great Hall', 'Hagrid', 'Forbidden Forest', 'Quidditch']","['Snape', 'Potions', 'Great Hall', 'Hagrid', 'Forbidden Forest', 'Quidditch']","['Severus Snape', 'Rubeus Hagrid']"
"All Harry’s spellbooks, his wand, robes, cauldron, and 
top-of-the-line Nimbus Two Thousand broomstick had 
been locked in a cupboard under the stairs by Uncle 
Vernon the instant Harry had come home.","['Harry', 'Thousand', 'Uncle Vernon']","['Harry', 'Thousand', 'Vernon']","['Harry Potter', 'Vernon Dursley']"
"What did 
the Dursleys care if Harry lost his place on the House 
Quidditch team because he hadn’t practiced all 
summer?","['Dursleys', 'Harry', 'House Quidditch']","['Dursleys', 'Harry', 'House Quidditch']",['Harry Potter']
"What was it to the Dursleys if Harry went 
back to school without any of his homework done?","['Dursleys', 'Harry']","['Dursleys', 'Harry']",['Harry Potter']
"The Dursleys were what wizards called Muggles (not a 
drop of magical blood in their veins), and as far as 
they were concerned, having a wizard in the family 
was a matter of deepest shame.","['Dursleys', 'Muggles']","['Dursleys', 'Muggles']",[]
"Uncle Vernon had 
even padlocked Harry’s owl, Hedwig, inside her cage, 
to stop her from carrying messages to anyone in the 
wizarding world.","['Uncle Vernon', 'Harry', 'Hedwig']","['Vernon', 'Harry', 'Hedwig']","['Vernon Dursley', 'Harry Potter', 'Hedwig']"
Harry looked nothing like the rest of the family.,['Harry'],['Harry'],['Harry Potter']
"Uncle 
Vernon was large and neckless, with an enormous 
black mustache; Aunt Petunia was horse-faced and 
bony; Dudley was blond, pink, and porky.","['Uncle Vernon', 'Aunt Petunia', 'Dudley']","['Vernon', 'Petunia', 'Dudley']","['Vernon Dursley', 'Petunia Dursley', 'Dudley Dursley']"
"Harry, on 
the other hand, was small and skinny, with brilliant 
green eyes and jet-black hair that was always untidy.",['Harry'],['Harry'],['Harry Potter']
"He wore round glasses, and on his forehead was a 
thin, lightning-shaped scar.",[],[],[]
"It was this scar that made Harry so particularly 
unusual, even for a wizard.",['Harry'],['Harry'],['Harry Potter']
"This scar was the only 
hint of Harry’s very mysterious past, of the reason he 
had been left on the Dursleys’ doorstep eleven years 
before.","['Harry', 'Dursleys']","['Harry', 'Dursleys']",['Harry Potter']
"At the age of one year old, Harry had somehow 
survived a curse from the greatest Dark sorcerer of all 
time, Lord Voldemort, whose name most witches and 
wizards still feared to speak.","['Harry', 'Dark', 'Lord Voldemort']","['Harry', 'Dark', 'Lord Voldemort']","['Harry Potter', 'Lord Voldemort']"
"Harry’s parents had died 
in Voldemort’s attack, but Harry had escaped with his 
lightning scar, and somehow — nobody understood 
why — Voldemort’s powers had been destroyed the 
instant he had failed to kill Harry.","['Harry', 'Voldemort', 'Harry Voldemort']","['Harry', 'Voldemort', 'Harry Voldemort']","['Harry Potter', 'Lord Voldemort']"
"So Harry had been brought up by his dead mother’s 
sister and her husband.",['Harry'],['Harry'],['Harry Potter']
"He had spent ten years with 
the Dursleys, never understanding why he kept 
making odd things happen without meaning to, 
believing the Dursleys’ story that he had got his scar 
in the car crash that had killed his parents.",['Dursleys'],['Dursleys'],[]
"And then, exactly a year ago, Hogwarts had written to 
Harry, and the whole story had come out.","['Hogwarts', 'Harry']","['Hogwarts', 'Harry']",['Harry Potter']
"Harry had 
taken up his place at wizard school, where he and his 
scar were famous .",['Harry'],['Harry'],['Harry Potter']
.,[],[],[]
.,[],[],[]
"but now the school year was 
over, and he was back with the Dursleys for the 
summer, back to being treated like a dog that had 
rolled in something smelly.",['Dursleys'],['Dursleys'],[]
"The Dursleys hadn’t even remembered that today 
happened to be Harry’s twelfth birthday.","['Dursleys', 'Harry']","['Dursleys', 'Harry']",['Harry Potter']
"Of course, 
his hopes hadn’t been high; they’d never given him a 
real present, let alone a cake — but to ignore it 
completely ... 

At that moment, Uncle Vernon cleared his throat 
importantly and said, “Now, as we all know, today is a 
very important day.” 

Harry looked up, hardly daring to believe it.","['Uncle Vernon', 'Harry']","['Vernon', 'Harry']","['Vernon Dursley', 'Harry Potter']"
"“This could well be the day I make the biggest deal of 
my career,” said Uncle Vernon.",['Uncle Vernon'],['Vernon'],['Vernon Dursley']
Harry went back to his toast.,['Harry'],['Harry'],['Harry Potter']
"Of course, he thought 
bitterly, Uncle Vernon was talking about the stupid 
dinner party.",['Uncle Vernon'],['Vernon'],['Vernon Dursley']
"He’d been talking of nothing else for two 
weeks.",[],[],[]
"Some rich builder and his wife were coming to 
dinner and Uncle Vernon was hoping to get a huge 
order from him (Uncle Vernon’s company made drills).",['Uncle Vernon'],['Vernon'],['Vernon Dursley']
